"Timestamp","RF","Em relação às propostas de recuperação salarial, você:","Em relação à proposta de remoção da cláusula de limite para as cessões sem prejuízo dos vencimentos você:","Em relação à proposta de remoção da cláusula de impedimento de ocupar cargos em comissão durante o estágio probatório você:"
"2023/06/16 2:40:20 PM GMT-3","8390452","Concorda com a proposta de reversão do achatamento da progressão da carreira, conforme tabela ao lado direito da imagem","Discorda.",""
"2023/06/16 2:44:03 PM GMT-3","8359091","Concorda com a proposta de reversão do achatamento da progressão da carreira, conforme tabela ao lado direito da imagem","Concorda.",""
"2023/06/16 2:46:22 PM GMT-3","8084858","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Concorda."
"2023/06/16 2:49:59 PM GMT-3","8475024","Concorda com a proposta de reversão do achatamento da progressão da carreira, conforme tabela ao lado direito da imagem","Concorda.","Concorda."
"2023/06/16 3:07:59 PM GMT-3","8390452","Concorda com a proposta de reversão do achatamento da progressão da carreira, conforme tabela ao lado direito da imagem","Discorda.","Concorda."
"2023/06/16 3:19:38 PM GMT-3","8476667","Concorda com a proposta de reversão do achatamento da progressão da carreira, conforme tabela ao lado direito da imagem","Concorda.","Concorda."
"2023/06/16 3:54:36 PM GMT-3","8907521","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Discorda.","Concorda."
"2023/06/16 3:57:50 PM GMT-3","8113441","Concorda com a proposta de reversão do achatamento da progressão da carreira, conforme tabela ao lado direito da imagem","Concorda.","Concorda."
"2023/06/16 4:15:52 PM GMT-3","8931909","Concorda com a proposta de reversão do achatamento da progressão da carreira, conforme tabela ao lado direito da imagem","Concorda.","Concorda."
"2023/06/16 4:18:16 PM GMT-3","8359032","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Discorda."
"2023/06/16 4:18:59 PM GMT-3","8113645","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Discorda.","Concorda."
"2023/06/16 4:21:21 PM GMT-3","8072558","Prefere se abster de votar.","Concorda.","Prefere se abster de votar."
"2023/06/16 4:21:37 PM GMT-3","8475024","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Concorda."
